ts,coin,state,pos_sz,pos_notional,withdrawable,equity,gross_spread_bps,net_spread_bps,skew_bps,position_ratio,volatility,mid_px,bid_sz,ask_sz,placed_buy_sz,placed_sell_sz
2026-06-20T09:27:56.342632091+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,578774.700000,471411.000000,0.000000,0.000000
2026-06-20T09:28:00.417813640+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,623172.500000,466596.800000,0.000000,0.000000
2026-06-20T09:28:04.176515297+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,607563.100000,470679.400000,0.000000,0.000000
2026-06-20T09:28:08.404091988+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,604219.700000,469758.100000,0.000000,0.000000
2026-06-20T09:28:12.876644104+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,604219.700000,469758.100000,0.000000,0.000000
2026-06-20T09:28:17.188921561+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,583208.100000,469853.100000,0.000000,0.000000
2026-06-20T09:28:21.864810687+00:00,FARTCOIN,COOLDOWN,3658.200000,453.799710,-331.099843,131.863022,1.6123,-1.8877,3.5000,1.0000,0.000000,0.124050,583208.100000,467129.700000,0.000000,0.000000
2026-06-20T09:28:25.105983860+00:00,FARTCOIN,COOLDOWN,3658.200000,453.470472,-331.099843,131.753276,4.8403,1.3403,3.5000,1.0000,0.000000,0.123960,587376.000000,406716.500000,0.000000,0.000000
2026-06-20T09:28:28.834297819+00:00,FARTCOIN,COOLDOWN,3658.200000,453.470472,-331.099843,131.424038,4.8403,1.3403,3.5000,1.0000,0.000000,0.123960,587376.000000,406716.500000,0.000000,0.000000
2026-06-20T09:28:32.226351283+00:00,FARTCOIN,COOLDOWN,3658.200000,453.433890,-331.099843,131.460620,3.2271,-0.2729,3.5000,1.0000,0.000000,0.123950,543642.200000,319541.800000,0.000000,0.000000
2026-06-20T09:28:35.939679068+00:00,FARTCOIN,COOLDOWN,3658.200000,453.379017,-331.099843,131.460620,5.6481,2.1481,3.5000,1.0000,0.000000,0.123935,570278.400000,317428.700000,0.000000,0.000000
2026-06-20T09:28:39.808860389+00:00,FARTCOIN,COOLDOWN,3658.200000,453.379017,-331.099843,131.497202,5.6481,2.1481,3.5000,1.0000,0.000000,0.123935,570278.400000,317428.700000,0.000000,0.000000
2026-06-20T09:28:43.093165056+00:00,FARTCOIN,COOLDOWN,3658.200000,453.452181,-331.099843,131.497202,2.4202,-1.0798,3.5000,1.0000,0.000000,0.123955,596364.800000,329163.100000,0.000000,0.000000
2026-06-20T09:28:46.240275269+00:00,FARTCOIN,COOLDOWN,3658.200000,453.452181,-331.099843,131.533784,2.4202,-1.0798,3.5000,1.0000,0.000000,0.123955,600552.200000,334165.800000,0.000000,0.000000
2026-06-20T09:28:51.222875535+00:00,FARTCOIN,COOLDOWN,3658.200000,453.818001,-331.099843,131.533784,4.0305,0.5305,3.5000,1.0000,0.000000,0.124055,403569.900000,523419.400000,0.000000,0.000000
2026-06-20T09:28:54.572981297+00:00,FARTCOIN,COOLDOWN,3658.200000,453.818001,-331.099843,131.533784,4.0305,0.5305,3.5000,1.0000,0.000000,0.124055,403569.900000,523419.400000,0.000000,0.000000
2026-06-20T09:28:59.178599195+00:00,FARTCOIN,COOLDOWN,3658.200000,453.781419,-331.099843,131.716694,4.0308,0.5308,3.5000,1.0000,0.000000,0.124045,396065.400000,495159.000000,0.000000,0.000000
2026-06-20T09:29:03.917822467+00:00,FARTCOIN,COOLDOWN,3658.200000,453.708255,-331.099843,131.716694,4.0314,0.5314,3.5000,1.0000,0.000000,0.124025,610108.100000,512690.600000,0.000000,0.000000
2026-06-20T09:29:08.032057078+00:00,FARTCOIN,COOLDOWN,3658.200000,453.671673,-331.099843,131.680112,2.4191,-1.0809,3.5000,1.0000,0.000000,0.124015,581041.700000,510410.900000,0.000000,0.000000
2026-06-20T09:29:12.225421069+00:00,FARTCOIN,COOLDOWN,3658.200000,453.671673,-331.099843,131.636849,2.4191,-1.0809,3.5000,1.0000,0.000000,0.124015,581041.700000,510410.900000,0.000000,0.000000
2026-06-20T09:29:16.781594540+00:00,FARTCOIN,COOLDOWN,3658.200000,453.726546,-331.099843,131.636849,3.2250,-0.2750,3.5000,1.0000,0.000000,0.124030,566536.800000,500680.400000,0.000000,0.000000
2026-06-20T09:29:21.524292875+00:00,FARTCOIN,COOLDOWN,3658.200000,453.726546,-331.099843,131.636849,3.2250,-0.2750,3.5000,1.0000,0.000000,0.124030,599492.200000,516815.100000,0.000000,0.000000
2026-06-20T09:29:26.129183192+00:00,FARTCOIN,COOLDOWN,3658.200000,453.013197,-331.099843,131.197865,4.0376,0.5376,3.5000,1.0000,0.000000,0.123835,645437.200000,482131.400000,0.000000,0.000000
2026-06-20T09:29:29.413336642+00:00,FARTCOIN,COOLDOWN,3658.200000,453.013197,-331.099843,131.197865,4.0376,0.5376,3.5000,1.0000,0.000000,0.123835,649247.300000,514618.800000,0.000000,0.000000
2026-06-20T09:29:34.620686031+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.088119,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,608182.100000,480774.700000,0.000000,0.000000
2026-06-20T09:29:39.702360927+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.088119,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,603840.400000,467164.500000,0.000000,0.000000
2026-06-20T09:29:44.790370124+00:00,FARTCOIN,COOLDOWN,3658.200000,452.976615,-331.099843,131.051537,2.4228,-1.0772,3.5000,1.0000,0.000000,0.123825,603840.400000,467164.500000,0.000000,0.000000
2026-06-20T09:29:48.878533702+00:00,FARTCOIN,COOLDOWN,3658.200000,453.049779,-331.099843,131.161283,0.8075,-2.6925,3.5000,1.0000,0.000000,0.123845,598390.200000,436848.200000,0.000000,0.000000
2026-06-20T09:29:53.134532071+00:00,FARTCOIN,COOLDOWN,3658.200000,453.269271,-331.099843,131.307611,2.4212,-1.0788,3.5000,1.0000,0.000000,0.123905,530216.900000,399016.300000,0.000000,0.000000
2026-06-20T09:29:57.133450636+00:00,FARTCOIN,COOLDOWN,3658.200000,453.269271,-331.099843,131.307611,2.4212,-1.0788,3.5000,1.0000,0.000000,0.123905,556378.000000,484692.900000,0.000000,0.000000
2026-06-20T09:30:00.973342832+00:00,FARTCOIN,COOLDOWN,3658.200000,453.269271,-331.099843,131.241128,2.4212,-1.0788,3.5000,1.0000,0.000000,0.123905,556378.000000,484692.900000,0.000000,0.000000
